uid,station_name,time_iso,aqi,pm25,pm10,o3,no2,so2,co,temp,humidity,wind,pressure,ingested_at_utc,time
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 13:00:00,71,71,21,11.9,,2.2,0.1,32.4,8.1,2.0,1004.7,2025-08-25T06:44:05Z,2025-08-25 20:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 13:00:00,22,15,22,10.3,8.1,0.6,0.1,32.4,8.4,1.0,1005.0,2025-08-25T06:44:06Z,2025-08-25 20:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 12:00:00,52,52,67,0.4,,,,32.1,8.0,1.5,1006.1,2025-08-25T06:44:08Z,2025-08-25 19:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T06:44:09Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 14:00:00,32,32,22,4.8,0.6,0.6,0.1,33.8,64.1,4.1,1005.1,2025-08-25T07:28:29Z,2025-08-25 21:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 14:00:00,46,46,20,11.9,,2.2,0.1,34.5,7.6,3.0,1002.7,2025-08-25T07:28:29Z,2025-08-25 21:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 14:00:00,29,29,20,13.4,9.3,0.6,0.1,31.5,64.1,2.0,1005.1,2025-08-25T07:28:30Z,2025-08-25 21:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 13:00:00,52,52,67,0.4,,,,32.9,61.4,3.0,1004.1,2025-08-25T07:28:31Z,2025-08-25 20:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T07:28:32Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 15:00:00,54,54,22,4.8,0.6,0.6,0.1,33.8,64.1,4.1,1005.1,2025-08-25T08:38:28Z,2025-08-25 22:00:00+07:00
